district_id,district_name,year,housing_units,source_id
paunsdorf,Paunsdorf,2021,8637,leipzig_housing_stock
heiterblick,Heiterblick,2021,2232,leipzig_housing_stock
moelkau,Mölkau,2021,3141,leipzig_housing_stock
engelsdorf,Engelsdorf,2021,4904,leipzig_housing_stock
baalsdorf,Baalsdorf,2021,807,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2021,931,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2021,12683,leipzig_housing_stock
stoetteritz,Stötteritz,2021,9705,leipzig_housing_stock
probstheida,Probstheida,2021,3777,leipzig_housing_stock
meusdorf,Meusdorf,2021,1725,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2021,2965,leipzig_housing_stock
holzhausen,Holzhausen,2021,3472,leipzig_housing_stock
suedvorstadt,Südvorstadt,2021,14297,leipzig_housing_stock
connewitz,Connewitz,2021,11249,leipzig_housing_stock
marienbrunn,Marienbrunn,2021,3216,leipzig_housing_stock
loessnig,Lößnig,2021,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2021,2405,leipzig_housing_stock
schleussig,Schleußig,2021,6484,leipzig_housing_stock
plagwitz,Plagwitz,2021,8992,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2021,6363,leipzig_housing_stock
grosszschocher,Großzschocher,2021,5544,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2021,2767,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2021,625,leipzig_housing_stock
schoenau,Schönau,2021,3141,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2021,4483,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2021,7642,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2021,1908,leipzig_housing_stock
lausen_gruenau,Lausen-Grünau,2021,8502,leipzig_housing_stock
gruenau_nord,Grünau-Nord,2021,5388,leipzig_housing_stock
miltitz,Miltitz,2021,1081,leipzig_housing_stock
lindenau,Lindenau,2021,4797,leipzig_housing_stock
altlindenau,Altlindenau,2021,10620,leipzig_housing_stock
neulindenau,Neulindenau,2021,4098,leipzig_housing_stock
leutzsch,Leutzsch,2021,6394,leipzig_housing_stock
boehlitz_ehrenberg,Böhlitz-Ehrenberg,2021,5485,leipzig_housing_stock
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,2021,2494,leipzig_housing_stock
moeckern,Möckern,2021,9372,leipzig_housing_stock
wahren,Wahren,2021,4157,leipzig_housing_stock
luetzschena_stahmeln,Lützschena-Stahmeln,2021,2147,leipzig_housing_stock
lindenthal,Lindenthal,2021,3625,leipzig_housing_stock
gohlis_sued,Gohlis-Süd,2021,10986,leipzig_housing_stock
gohlis_mitte,Gohlis-Mitte,2021,9984,leipzig_housing_stock
gohlis_nord,Gohlis-Nord,2021,5968,leipzig_housing_stock
eutritzsch,Eutritzsch,2021,8724,leipzig_housing_stock
seehausen,Seehausen,2021,1365,leipzig_housing_stock
wiederitzsch,Wiederitzsch,2021,4372,leipzig_housing_stock
zentrum,Zentrum,2022,2190,leipzig_housing_stock
zentrum_ost,Zentrum-Ost,2022,4357,leipzig_housing_stock
zentrum_suedost,Zentrum-Südost,2022,7621,leipzig_housing_stock
zentrum_sued,Zentrum-Süd,2022,8577,leipzig_housing_stock
zentrum_west,Zentrum-West,2022,6658,leipzig_housing_stock
zentrum_nordwest,Zentrum-Nordwest,2022,6120,leipzig_housing_stock
zentrum_nord,Zentrum-Nord,2022,5994,leipzig_housing_stock
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,2022,7240,leipzig_housing_stock
schoenefeld_ost,Schönefeld-Ost,2022,6243,leipzig_housing_stock
mockau_sued,Mockau-Süd,2022,2894,leipzig_housing_stock
mockau_nord,Mockau-Nord,2022,6833,leipzig_housing_stock
thekla,Thekla,2022,3308,leipzig_housing_stock
plaussig_portitz,Plaußig-Portitz,2022,1394,leipzig_housing_stock
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,2022,7512,leipzig_housing_stock
volkmarsdorf,Volkmarsdorf,2022,7131,leipzig_housing_stock
anger_crottendorf,Anger-Crottendorf,2022,7071,leipzig_housing_stock
sellerhausen_stuenz,Sellerhausen-Stünz,2022,5607,leipzig_housing_stock
paunsdorf,Paunsdorf,2022,8718,leipzig_housing_stock
heiterblick,Heiterblick,2022,2233,leipzig_housing_stock
moelkau,Mölkau,2022,3144,leipzig_housing_stock
engelsdorf,Engelsdorf,2022,4907,leipzig_housing_stock
baalsdorf,Baalsdorf,2022,822,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2022,945,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2022,12710,leipzig_housing_stock
stoetteritz,Stötteritz,2022,9881,leipzig_housing_stock
probstheida,Probstheida,2022,3846,leipzig_housing_stock
meusdorf,Meusdorf,2022,1760,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2022,2979,leipzig_housing_stock
holzhausen,Holzhausen,2022,3481,leipzig_housing_stock
suedvorstadt,Südvorstadt,2022,14336,leipzig_housing_stock
connewitz,Connewitz,2022,11408,leipzig_housing_stock
marienbrunn,Marienbrunn,2022,3240,leipzig_housing_stock
loessnig,Lößnig,2022,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2022,2413,leipzig_housing_stock
schleussig,Schleußig,2022,6494,leipzig_housing_stock
plagwitz,Plagwitz,2022,9020,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2022,6390,leipzig_housing_stock
grosszschocher,Großzschocher,2022,5552,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2022,2788,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2022,641,leipzig_housing_stock
schoenau,Schönau,2022,3233,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2022,4483,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2022,7644,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2022,1918,leipzig_housing_stock
lausen_gruenau,Lausen-Grünau,2022,8574,leipzig_housing_stock
gruenau_nord,Grünau-Nord,2022,5377,leipzig_housing_stock
miltitz,Miltitz,2022,1080,leipzig_housing_stock
lindenau,Lindenau,2022,4817,leipzig_housing_stock
altlindenau,Altlindenau,2022,10798,leipzig_housing_stock
