observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_gruenau_ost_students_bafog_only_2026,gruenau_ost,students,bafog_only,2026,7.94,30,120,358.2,992,0.361,critical,wohnungsboerse_2026,bafoeg_2024
affordability_gruenau_ost_students_bafog_plus_minijob_2026,gruenau_ost,students,bafog_plus_minijob,2026,7.94,30,120,358.2,1595,0.225,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_gruenau_siedlung_students_bafog_only_2026,gruenau_siedlung,students,bafog_only,2026,7.73,30,120,351.9,992,0.355,critical,wohnungsboerse_2026,bafoeg_2024
affordability_gruenau_siedlung_students_bafog_plus_minijob_2026,gruenau_siedlung,students,bafog_plus_minijob,2026,7.73,30,120,351.9,1595,0.221,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_hartmannsdorf_knautnaundorf_students_bafog_only_2026,hartmannsdorf_knautnaundorf,students,bafog_only,2026,11.24,30,120,457.2,992,0.461,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_hartmannsdorf_knautnaundorf_students_bafog_plus_minijob_2026,hartmannsdorf_knautnaundorf,students,bafog_plus_minijob,2026,11.24,30,120,457.2,1595,0.287,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_heiterblick_students_bafog_only_2026,heiterblick,students,bafog_only,2026,8.84,30,120,385.2,992,0.388,critical,wohnungsboerse_2026,bafoeg_2024
affordability_heiterblick_students_bafog_plus_minijob_2026,heiterblick,students,bafog_plus_minijob,2026,8.84,30,120,385.2,1595,0.242,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_holzhausen_students_bafog_only_2026,holzhausen,students,bafog_only,2026,10.02,30,120,420.6,992,0.424,critical,wohnungsboerse_2026,bafoeg_2024
affordability_holzhausen_students_bafog_plus_minijob_2026,holzhausen,students,bafog_plus_minijob,2026,10.02,30,120,420.6,1595,0.264,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
