observation_id,district_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,source_id,notes
rent_neulindenau_2026,neulindenau,2026,11.43,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_neustadt_neuschoenefeld_2026,neustadt_neuschoenefeld,2026,10.77,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_paunsdorf_2026,paunsdorf,2026,8.93,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_plagwitz_2026,plagwitz,2026,10.72,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_plaussig_portitz_2026,plaussig_portitz,2026,10.17,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_probstheida_2026,probstheida,2026,10.07,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_reudnitz_thonberg_2026,reudnitz_thonberg,2026,10.8,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_schleussig_2026,schleussig,2026,10.13,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_schoenau_2026,schoenau,2026,7.87,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_schoenefeld_abtnaundorf_2026,schoenefeld_abtnaundorf,2026,9.46,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_schoenefeld_ost_2026,schoenefeld_ost,2026,8.6,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_seehausen_2026,seehausen,2026,10.84,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_sellerhausen_stuenz_2026,sellerhausen_stuenz,2026,9.98,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_stoetteritz_2026,stoetteritz,2026,10.85,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_suedvorstadt_2026,suedvorstadt,2026,10.62,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_thekla_2026,thekla,2026,8.99,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_volkmarsdorf_2026,volkmarsdorf,2026,10.01,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_wahren_2026,wahren,2026,9.15,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_wiederitzsch_2026,wiederitzsch,2026,9.72,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_2026,zentrum,2026,11.43,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_nord_2026,zentrum_nord,2026,12.5,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_nordwest_2026,zentrum_nordwest,2026,11.63,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_ost_2026,zentrum_ost,2026,13.11,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_sued_2026,zentrum_sued,2026,11.78,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_suedost_2026,zentrum_suedost,2026,12.76,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
rent_zentrum_west_2026,zentrum_west,2026,11.81,30,120,wohnungsboerse_2026,Offer rent per sqm automatically extracted from Wohnungsboerse Leipzig PDF
