"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
Baalsdorf,Einwohnerdichte,"406","406","417","415","424","431,3374903","436,2157119","436,7292089","438,8891721","444,037432154749","456","462","465,1890236387","468,020832858415","477,351361964251","476,067469113352","476,349614395887","468,894601542416","473,264781491003","469,151671","471,722365","466,3098826"
Althen-Kleinpösna,Einwohnerdichte,"227","234","235","234","232","231,2372483","229,1937564","230,3768307","220,2195344","224,15582562336","229","230","232,471476702037","232,365082433524","225,364965055603","227,493057265759","224,042553191489","221,702127659574","228,085106382979","231,4893617","234,3617021","236,3969978"
Reudnitz-Thonberg,Einwohnerdichte,"8934","8956","8365","8371","8543","8471,141886","8558,550347","8839,472726","9629,081152","9850,82448705543","10132","10435","10675,3070951854","10895,0812349773","11067,5401689145","11258,2239034604","11190,6403940887","11351,2315270936","11570,4433497537","11649,26108","11883,25123","11901,58628"
Stötteritz,Einwohnerdichte,"3949","3973","3990","3996","4026","4006,458733","4051,211289","4108,947611","4140,83349","4211,12751036538","4316","4458","4564,70202937185","4643,14173007874","4741,92138839002","4752,96916523534","4782,74932614555","4851,21293800539","4949,05660377359","4993,800539","4947,439353","4888,499107"
Probstheida,Einwohnerdichte,"1222","1229","1222","1218","1231","1222,266068","1202,845343","1202,638739","1233,245001","1251,1389827955","1274","1309","1331,82109761352","1351,56701658972","1357,87936927034","1384,868020063","1380,41237113402","1402,47422680412","1450,92783505155","1459,793814","1488,659794","1468,101771"
Meusdorf,Einwohnerdichte,"1883","1865","1819","1827","1833","1808,077553","1798,312495","1763,877818","1767,327529","1753,96982093016","1762","1779","1763,81890457711","1762,27755394684","1757,21661482404","1732,55392549317","1705,64102564103","1708,71794871795","1733,33333333333","1800","2005,128205","2118,457222"
Liebertwolkwitz,Einwohnerdichte,"575","574","569","563","563","562,2648048","563,3450446","556,9716299","566,1888148","569,964126054487","567","572","573,564787505174","581,115950778704","580,792329268244","584,028542098491","575,836030204962","581,553398058252","589,536138079827","586,1920173","593,0960086","584,2445533"
Holzhausen,Einwohnerdichte,"495","494","490","481","488","486,6001369","483,0994165","487,300281","481,917905","483,930411466314","488","493","497,900035769148","500,067511049237","511,407917204193","515,204158371138","517,893106119287","518,745158791634","523,780015491867","522,2308288","524,1673122","523,4939093"
Südvorstadt,Einwohnerdichte,"9071","9314","8792","8858","9041","9174,398132","9220,988555","9399,519923","10106,75447","10249,2611248284","10363","10566","10616,1074052925","10678,4280107556","10863,7280558721","10921,8939549016","10894,1908713693","11027,8008298755","11092,1161825726","11121,16183","11200","11047,96781"
Connewitz,Einwohnerdichte,"2284","2294","2360","2346","2412","2405,231575","2415,427321","2450,974651","2436,009908","2471,1771808096","2491","2529","2557,18461488826","2563,00070176228","2588,97007039663","2637,39237253351","2616,64411366712","2630,71718538566","2701,08254397835","2702,300406","2721,244926","2699,275893"
Marienbrunn,Einwohnerdichte,"5114","5042","4381","4388","4495","4428,233176","4415,397718","4407,847448","4918,820929","5047,91064027977","5185","5205","5222,32979364714","5231,55060066642","5205,41352219471","5142,12581979721","5064,16666666667","5111,66666666667","5259,16666666667","5216,666667","5151,666667","5106,32349"
Lößnig,Einwohnerdichte,"7023","7013","7107","6742","6698","6524,691134","6508,31654","6502,46847","6398,155618","6399,88251570229","6444","6467","6478,86463397561","6420,14902378764","6405,65167984457","6325,06296352733","6185,63218390805","6263,2183908046","6251,14942528736","6177,011494","6027,586207","6062,06047"
Dölitz-Dösen,Einwohnerdichte,"1052","976","920","935","943","978,3572479","984,3257524","1025,150323","1072,280631","1086,52389798038","1088","1132","1119,54651320384","1122,15783882836","1101,51098616784","1098,18746164061","1103,80047505938","1099,52494061758","1149,16864608076","1165,558195","1164,370546","1163,493515"
Schleußig,Einwohnerdichte,"5300","5425","5283","5333","5495","5945,465434","6014,398366","5991,420722","6027,529054","6061,66324359211","6078","6055","6099,50056582041","6140,74543984702","6163,50119335116","6142,16763795536","6079,62085308057","6065,4028436019","6073,45971563981","5994,78673","5988,151659","5978,138408"
Plagwitz,Einwohnerdichte,"6381","6508","7101","7219","7497","7542,266039","7722,546995","8070,187744","7849,710751","8348,78514754596","8645","8892","9087,31371347025","9246,5269697906","9338,00233618207","9531,95303260596","9565,89595375722","9746,82080924855","9916,76300578035","9978,612717","10058,95954","10017,0065"
Kleinzschocher,Einwohnerdichte,"2758","2780","2681","2674","2718","2702,688033","2775,483411","2803,89915","2950,400564","3002,72780246801","3044","3134","3244,4423689373","3325,38890268563","3341,18336895265","3402,71589701983","3381,90789473684","3431,90789473684","3543,75","3588,486842","3643,421053","3646,62704"
Großzschocher,Einwohnerdichte,"585","586","549","573","580","574,2587684","576,8394168","579,0974841","578,7549461","579,850950789482","582","587","590,928903256122","592,089357135525","597,762688668156","595,764129204318","592,005157962605","600,257898130239","601,80528691167","600,5157963","602,3855577","597,8178192"
